SET 10,SET5 ,,,,Set 5,Set 10,,SET5,SET10
1.9601305,1.8827328999996098,,,,1.8827329,1.9601305,,1.797588721,1.92559665
1.2415664,1.7678088000011485,,0.006560854,,1.7678088,1.2415664,,SLOPE,0.025601586
2.0298612999995385,1.373238099999071,,0,,1.3732381,2.0298613,,,
1.3581814000008308,1.6212137000002258,,,,1.6212137,1.3581814,,,1.862863402
2.246536800001195,1.153428300000087,,,,1.1534283,2.2465368,,,
1.7275562000013451,1.3988845000003494,,,,1.3988845,1.7275562,,,
1.9290571000001364,1.087749399999666,,,,1.0877494,1.9290571,,,
1.0876600999999937,1.6385016000003816,,,,1.6385016,1.0876601,,,
1.5128684999999678,1.6875448999999207,,,,1.6875449,1.5128685,,,
1.2933135999992373,1.282757599999968,,,,1.2827576,1.2933136,,,
1.8121621000009327,1.7891429000010248,,,,1.7891429,1.8121621,,,
1.3857475000004342,1.9044517999991513,,,,1.9044518,1.3857475,,,
1.9572158999999374,1.8282535999987886,,,,1.8282536,1.9572159,,,
1.661181299999953,1.6511419000016758,,,,1.6511419,1.6611813,,,
1.1261727999990399,2.1348183000009158,,,,2.1348183,1.1261728,,,
2.445784799998364,1.6052132999993773,,,,1.6052133,2.4457848,,,
1.8443805999995675,1.2884171000005153,,,,1.2884171,1.8443806,,,
1.995824100000391,1.3533700999996654,,,,1.3533701,1.9958241,,,
1.9438449999997829,1.5837910000009288,,,,1.583791,1.943845,,,
1.8120155000015075,1.6373470999988058,,,,1.6373471,1.8120155,,,
1.2278654000001552,1.9861146999992343,,,,1.9861147,1.2278654,,,
2.356960099999924,1.8886929000000237,,,,1.8886929,2.3569601,,,
1.8284866000012698,1.3549225999995542,,,,1.3549226,1.8284866,,,
2.9622749000009208,1.7723862000002555,,,,1.7723862,2.9622749,,,
1.541485499999908,1.6210854000000836,,,,1.6210854,1.5414855,,,
1.5777481999994052,1.4486909999995987,,,,1.448691,1.5777482,,,
1.3258108000009088,2.0205086000005394,,,,2.0205086,1.3258108,,,
1.5579474000005575,2.131005900000673,,,,2.1310059,1.5579474,,,
1.6620669000003545,2.2831118000012793,,,,2.2831118,1.6620669,,,
1.592844899998454,1.5542096999997739,,,,1.5542097,1.5928449,,,
1.6786456000008911,1.664999099999477,,,,1.6649991,1.6786456,,,
1.9287089999997988,1.9046976000008726,,,,1.9046976,1.928709,,,
1.2418273000002955,1.9525972999999794,,,,1.9525973,1.2418273,,,
1.4263694000001124,1.8214367000000493,,,,1.8214367,1.4263694,,,
1.9917218999999022,1.5337933999999223,,,,1.5337934,1.9917219,,,
3.292521900000793,1.7663721999997506,,,,1.7663722,3.2925219,,,
1.7282635000010487,1.035809999999401,,,,1.03581,1.7282635,,,
1.9716483000011067,1.4208460000008927,,,,1.420846,1.9716483,,,
1.3626342999996268,1.4703322000004846,,,,1.4703322,1.3626343,,,
1.6610797000012099,1.2213508000004367,,,,1.2213508,1.6610797,,,
1.5110457999999198,1.4282557000005909,,,,1.4282557,1.5110458,,,
1.8957671000007394,1.2982263000012608,,,,1.2982263,1.8957671,,,
1.895387300000948,1.0204936000009184,,,,1.0204936,1.8953873,,,
1.9782527000006667,1.5392090000004828,,,,1.539209,1.9782527,,,
1.8119922000005317,1.720597599998655,,,,1.7205976,1.8119922,,,
1.1615321000008407,1.100914399999965,,,,1.1009144,1.1615321,,,
1.6263691000003746,1.3539054000011674,,,,1.3539054,1.6263691,,,
1.6951544000003196,1.4219076999997924,,,,1.4219077,1.6951544,,,
1.1627253000006021,2.271155099999305,,,,2.2711551,1.1627253,,,
1.2436846000000514,1.5168995000003633,,,,1.5168995,1.2436846,,,
1.304664999999659,1.5863547000008111,,,,1.5863547,1.304665,,,
1.7776804000004631,1.5545208000003186,,,,1.5545208,1.7776804,,,
1.4195104999998875,1.7207584000007046,,,,1.7207584,1.4195105,,,
1.412079800000356,1.6214161000007152,,,,1.6214161,1.4120798,,,
1.8957276000001002,1.5660723000000871,,,,1.5660723,1.8957276,,,
1.6278517999999167,1.8884777999992366,,,,1.8884778,1.6278518,,,
1.557041300000492,2.189235000001645,,,,2.189235,1.5570413,,,
1.7285133000004862,3.1038191999996343,,,,3.1038192,1.7285133,,,
1.578349999999773,1.470954200000051,,,,1.4709542,1.57835,,,
2.0129901000000245,1.7882611000004545,,,,1.7882611,2.0129901,,,
2.0577487999998993,1.3882783000008203,,,,1.3882783,2.0577488,,,
1.3278444999996282,1.3545928000003187,,,,1.3545928,1.3278445,,,
1.8936434999995981,1.6374520999997912,,,,1.6374521,1.8936435,,,
2.8120221000008314,1.4689809000010428,,,,1.4689809,2.8120221,,,
1.6253637999998318,1.6194990999993024,,,,1.6194991,1.6253638,,,
2.087345499998264,1.3046642999997857,,,,1.3046643,2.0873455,,,
1.5284274000005098,1.737891100001434,,,,1.7378911,1.5284274,,,
2.2296416999997746,1.1380053000011685,,,,1.1380053,2.2296417,,,
2.1460690000003524,1.638460699999996,,,,1.6384607,2.146069,,,
1.3282772000002296,1.5724605999985215,,,,1.5724606,1.3282772,,,
2.4594668000008824,1.387626800000362,,,,1.3876268,2.4594668,,,
1.2954860999998346,1.4798616999996739,,,,1.4798617,1.2954861,,,
1.462233500000366,1.571778199999244,,,,1.5717782,1.4622335,,,
1.378175400001055,1.2201550000008865,,,,1.220155,1.3781754,,,
0.9951326999998855,1.2509501999993518,,,,1.2509502,0.9951327,,,
1.8781803999991098,2.4876103999995394,,,,2.4876104,1.8781804,,,
1.7609851000015624,1.68025630000011,,,,1.6802563,1.7609851,,,
1.3584399000010308,1.3367317000011099,,,,1.3367317,1.3584399,,,
1.8123980999989726,1.7380964000003587,,,,1.7380964,1.8123981,,,
2.026807899999767,1.648322699998971,,,,1.6483227,2.0268079,,,
1.508111099999951,1.788403599999583,,,,1.7884036,1.5081111,,,
1.692971000000398,1.1210854000000836,,,,1.1210854,1.692971,,,
1.7791138000011415,3.003493799998978,,,,3.0034938,1.7791138,,,
1.994963999999527,1.5219713999995292,,,,1.5219714,1.994964,,,
2.8458453999992344,2.0874105999992025,,,,2.0874106,2.8458454,,,
1.676919599998655,1.555107100000896,,,,1.5551071,1.6769196,,,
1.3950433999998495,1.4351273000011133,,,,1.4351273,1.3950434,,,
1.9081225999998424,1.5538711999997759,,,,1.5538712,1.9081226,,,
1.7610922999992908,1.7552443000004132,,,,1.7552443,1.7610923,,,
2.4303982999990694,2.1385174999995797,,,,2.1385175,2.4303983,,,
1.8446342999995977,4.173681399999623,,,,4.1736814,1.8446343,,,
3.2051083000005747,1.789308199999141,,,,1.7893082,3.2051083,,,
1.6610810000001948,1.7045715000003838,,,,1.7045715,1.661081,,,
3.1450044000011985,1.7888456000000588,,,,1.7888456,3.1450044,,,
2.8944754999993165,1.6720528999994713,,,,1.6720529,2.8944755,,,
2.086789199998748,1.788570400000026,,,,1.7885704,2.0867892,,,
1.374479699999938,2.805352999999741,,,,2.805353,1.3744797,,,
1.7617238999991969,2.787250100000165,,,,2.7872501,1.7617239,,,
2.7603514999991603,1.870926400000826,,,,1.8709264,2.7603515,,,
2.6957673000015347,1.8387686999994912,,,,1.8387687,2.6957673,,,
2.144021000000066,2.370565400000487,,,,2.3705654,2.144021,,,
2.126414599999407,2.297537699998429,,,,2.2975377,2.1264146,,,
1.4973667000012938,1.721237799998562,,,,1.7212378,1.4973667,,,
1.5104986999995162,1.737597299999834,,,,1.7375973,1.5104987,,,
3.2244088999996166,2.1548481000008906,,,,2.1548481,3.2244089,,,
1.5955568999997922,2.221073400000023,,,,2.2210734,1.5955569,,,
2.5412297999992006,2.3712415999998484,,,,2.3712416,2.5412298,,,
2.30950600000142,3.40365859999838,,,,3.4036586,2.309506,,,
1.7449210000013409,1.872099000000162,,,,1.872099,1.744921,,,
2.5927611000006436,1.653301600001214,,,,1.6533016,2.5927611,,,
1.5955893999998807,1.9894906999998057,,,,1.9894907,1.5955894,,,
1.3302565000012692,2.3211436999990838,,,,2.3211437,1.3302565,,,
1.745447500001319,1.4481684999991558,,,,1.4481685,1.7454475,,,
2.0617484000013064,1.3224731999998767,,,,1.3224732,2.0617484,,,
1.6961868999987928,1.6199713999994856,,,,1.6199714,1.6961869,,,
3.111479099999997,2.3542667999990954,,,,2.3542668,3.1114791,,,
1.6116424000010738,1.5708458999997674,,,,1.5708459,1.6116424,,,
2.278870000000097,2.3882228000002215,,,,2.3882228,2.27887,,,
1.7462891999985004,1.8699042000007466,,,,1.8699042,1.7462892,,,
1.395452100001421,1.7182833000006212,,,,1.7182833,1.3954521,,,
2.2120677000002615,1.6047821000011027,,,,1.6047821,2.2120677,,,
2.2964582000004157,1.6394306999991386,,,,1.6394307,2.2964582,,,
1.8056837000003725,2.3884973999993235,,,,2.3884974,1.8056837,,,
2.2120761000005587,2.2216075000014825,,,,2.2216075,2.2120761,,,
3.2476146000008157,1.6664426999996067,,,,1.6664427,3.2476146,,,
1.8109959999983403,1.6053605999986758,,,,1.6053606,1.810996,,,
1.6811085999997886,2.5874559999992925,,,,2.587456,1.6811086,,,
2.962245600001552,1.937712000000829,,,,1.937712,2.9622456,,,
1.5791183000001183,2.2223149000001285,,,,2.2223149,1.5791183,,,
1.6132035999999061,1.704746100000193,,,,1.7047461,1.6132036,,,
1.6461466000000655,2.07253479999963,,,,2.0725348,1.6461466,,,
1.8117922000001272,1.3379311999997299,,,,1.3379312,1.8117922,,,
1.6611618999995699,1.6556098999990354,,,,1.6556099,1.6611619,,,
2.544936400001461,2.154748599999948,,,,2.1547486,2.5449364,,,
1.4793308999996952,1.6049186999989615,,,,1.6049187,1.4793309,,,
1.5421518999992259,1.7023167999996076,,,,1.7023168,1.5421519,,,
1.855470399999831,1.4050315000004048,,,,1.4050315,1.8554704,,,
1.912395800000013,1.4062438999990263,,,,1.4062439,1.9123958,,,
1.7619212000008702,2.1965079000001424,,,,2.1965079,1.7619212,,,
2.113654700000552,1.566459900001064,,,,1.5664599,2.1136547,,,
2.3566993000004004,1.9875092000002041,,,,1.9875092,2.3566993,,,
2.5798821000007592,1.6876592000007804,,,,1.6876592,2.5798821,,,
2.012068599999111,3.3697092999991582,,,,3.3697093,2.0120686,,,
1.5105031999992207,2.148598199999469,,,,2.1485982,1.5105032,,,
2.17579829999886,1.3557722000005015,,,,1.3557722,2.1757983,,,
1.6124589999999444,1.7055450000007113,,,,1.705545,1.612459,,,
2.705007200000182,1.8211902000002738,,,,1.8211902,2.7050072,,,
1.4116221999993286,1.8545317999996769,,,,1.8545318,1.4116222,,,
2.4558040000010806,1.80508860000009,,,,1.8050886,2.455804,,,
4.457730199999787,1.7218295999991824,,,,1.7218296,4.4577302,,,
1.8792859999994107,2.9061297999996896,,,,2.9061298,1.879286,,,
1.610952899998665,1.5373517999996693,,,,1.5373518,1.6109529,,,
2.1796293999996124,3.266638899998725,,,,3.2666389,2.1796294,,,
2.1624960000008286,1.9723630000007688,,,,1.972363,2.162496,,,
1.8948728000013944,1.6218697000003885,,,,1.6218697,1.8948728,,,
1.795778199999404,1.5873463999996602,,,,1.5873464,1.7957782,,,
1.8792132999988098,2.9733149999992747,,,,2.973315,1.8792133,,,
2.564217799999824,1.8889118999995844,,,,1.8889119,2.5642178,,,
1.8940315999989252,1.6851913999998942,,,,1.6851914,1.8940316,,,
3.062457199999699,1.251989999998841,,,,1.25199,3.0624572,,,
1.511755900000935,1.5798398000006273,,,,1.5798398,1.5117559,,,
1.7788611999985733,2.0041909999999916,,,,2.004191,1.7788612,,,
1.7267057999997633,2.0228074999995442,,,,2.0228075,1.7267058,,,
1.8429756000005,1.5396244000003207,,,,1.5396244,1.8429756,,,
1.6130324999994627,1.6885163000006287,,,,1.6885163,1.6130325,,,
1.5341946000007738,2.219238400000904,,,,2.2192384,1.5341946,,,
1.6961577000001853,2.139384300000529,,,,2.1393843,1.6961577,,,
1.1600357000006625,2.2725815000012517,,,,2.2725815,1.1600357,,,
1.6955405000007886,2.1035897999990993,,,,2.1035898,1.6955405,,,
1.1911913000003551,1.8382633000001078,,,,1.8382633,1.1911913,,,
1.9952546000004077,1.5048010000009526,,,,1.504801,1.9952546,,,
1.7380630999996356,1.6890608000012435,,,,1.6890608,1.7380631,,,
1.4270720000004076,1.9563207999999577,,,,1.9563208,1.427072,,,
1.6616503999994165,1.455214800000249,,,,1.4552148,1.6616504,,,
1.4798381000000518,1.4702668000008998,,,,1.4702668,1.4798381,,,
2.1952406000000337,1.5214218000000983,,,,1.5214218,2.1952406,,,
1.7609897999991517,1.9386309000001347,,,,1.9386309,1.7609898,,,
1.6547678999995696,1.8707100999999966,,,,1.8707101,1.6547679,,,
1.779096500000378,1.2025299000015366,,,,1.2025299,1.7790965,,,
2.0628064000011364,2.4997618999987026,,,,2.4997619,2.0628064,,,
1.9638875000000553,1.5368460999998206,,,,1.5368461,1.9638875,,,
1.844314600000871,1.8722119000012754,,,,1.8722119,1.8443146,,,
1.3801760999995167,3.723151100000905,,,,3.7231511,1.3801761,,,
1.540851300000213,1.8629086000000825,,,,1.8629086,1.5408513,,,
1.696828699999969,1.8047270999995817,,,,1.8047271,1.6968287,,,
2.0298158999994484,1.404284700000062,,,,1.4042847,2.0298159,,,
2.64622799999961,1.5544487000006484,,,,1.5544487,2.646228,,,
2.245038299999578,1.3567380999993475,,,,1.3567381,2.2450383,,,
1.962446400000772,1.2033783999995649,,,,1.2033784,1.9624464,,,
1.8798136000004888,1.384125700000368,,,,1.3841257,1.8798136,,,
2.7640202999991743,2.171824800001559,,,,2.1718248,2.7640203,,,
1.8285193000010622,1.3728066999992734,,,,1.3728067,1.8285193,,,
2.012458199998946,1.253719700000147,,,,1.2537197,2.0124582,,,
1.7802699000003486,1.5005323000004864,,,,1.5005323,1.7802699,,,
2.5297664999998233,1.5657131999996636,,,,1.5657132,2.5297665,,,
1.7422618000000512,1.4556025000001682,,,,1.4556025,1.7422618,,,
1.8142091999998229,1.3716010999996797,,,,1.3716011,1.8142092,,,
1.5104824999998527,1.8520467999987886,,,,1.8520468,1.5104825,,,
1.4607897000005323,1.7234475999994174,,,,1.7234476,1.4607897,,,
1.577288700000281,1.286270799999329,,,,1.2862708,1.5772887,,,
1.494960699999865,1.755199100000027,,,,1.7551991,1.4949607,,,
1.8967475999997987,1.4056624000004376,,,,1.4056624,1.8967476,,,
1.158862299998873,1.4731147000002238,,,,1.4731147,1.1588623,,,
1.9384774999998626,1.3678826000013942,,,,1.3678826,1.9384775,,,
2.6970194000004994,1.7555720999989717,,,,1.7555721,2.6970194,,,
1.679081700000097,1.304393099999288,,,,1.3043931,1.6790817,,,
1.6783875999990414,1.3561065000012604,,,,1.3561065,1.6783876,,,
1.711351800000557,1.3201415999992605,,,,1.3201416,1.7113518,,,
1.3771289000014804,2.0057554000013624,,,,2.0057554,1.3771289,,,
1.07640739999988,2.004574099999445,,,,2.0045741,1.0764074,,,
1.0966024999997899,1.501036000001477,,,,1.501036,1.0966025,,,
1.4111436000002868,1.604888400001073,,,,1.6048884,1.4111436,,,
1.8070793999995658,1.7035852999997587,,,,1.7035853,1.8070794,,,
1.1457157999993797,1.5714619999998831,,,,1.571462,1.1457158,,,
0.9964787999997498,1.4162233000006381,,,,1.4162233,0.9964788,,,
1.5465207999986887,1.148423399999956,,,,1.1484234,1.5465208,,,
1.7943270000014309,1.455880999999863,,,,1.455881,1.794327,,,
1.4796031999994739,2.3211959000000206,,,,2.3211959,1.4796032,,,
1.4943523000001733,1.6354111000000557,,,,1.6354111,1.4943523,,,
1.530175899999449,1.3031595000011293,,,,1.3031595,1.5301759,,,
1.3794261000002734,1.0725511999989976,,,,1.0725512,1.3794261,,,
1.3292282999991585,1.5991813000000548,,,,1.5991813,1.3292283,,,
1.488611699998728,1.2847259000009217,,,,1.2847259,1.4886117,,,
1.3787393999991764,1.2000381000016205,,,,1.2000381,1.3787394,,,
1.3293152999995073,1.8363384999993286,,,,1.8363385,1.3293153,,,
1.162276999999449,1.6542128000000957,,,,1.6542128,1.162277,,,
1.595677399998749,0.9224610999990546,,,,0.9224611,1.5956774,,,
1.413875199999893,1.4185161999994307,,,,1.4185162,1.4138752,,,
1.5786563999990904,1.504282300000341,,,,1.5042823,1.5786564,,,
1.477406300000439,0.9718050999999832,,,,0.9718051,1.4774063,,,
1.496612400000231,1.520249100000001,,,,1.5202491,1.4966124,,,
2.046183200000087,1.120224499998585,,,,1.1202245,2.0461832,,,
1.5296949999992648,1.788007800001651,,,,1.7880078,1.529695,,,
1.4452791000003344,1.718074099999285,,,,1.7180741,1.4452791,,,
1.3801168000009056,1.3715353999996296,,,,1.3715354,1.3801168,,,
1.6629472999993595,1.0015985000009096,,,,1.0015985,1.6629473,,,
1.3628120000012132,1.73418700000002,,,,1.734187,1.362812,,,
1.9731795999996393,1.220516100000168,,,,1.2205161,1.9731796,,,
1.580689299998994,1.2874286999995093,,,,1.2874287,1.5806893,,,
